Local time - DST,P
2015-01-28 00:10:00+00:00,0.0
2015-01-28 01:10:00+00:00,0.0
2015-01-28 02:10:00+00:00,0.0
2015-01-28 03:10:00+00:00,0.0
2015-01-28 04:10:00+00:00,0.0
2015-01-28 05:10:00+00:00,0.0
2015-01-28 06:10:00+00:00,0.0
2015-01-28 07:10:00+00:00,0.0
2015-01-28 08:10:00+00:00,48.77
2015-01-28 09:10:00+00:00,243.42
2015-01-28 10:10:00+00:00,395.49
2015-01-28 11:10:00+00:00,501.26
2015-01-28 12:10:00+00:00,545.55
2015-01-28 13:10:00+00:00,512.28
2015-01-28 14:10:00+00:00,456.75
2015-01-28 15:10:00+00:00,328.25
